iter	Passed	Remaining
404	7719	20871
405	7737	20849
406	7755	20827
407	7774	20807
408	7793	20788
409	7811	20766
410	7829	20746
411	7850	20730
412	7868	20708
413	7886	20686
414	7904	20665
415	7922	20645
416	7941	20624
417	7959	20603
418	7977	20582
419	7995	20561
420	8013	20539
421	8031	20517
422	8050	20498
423	8068	20476
424	8087	20456
425	8106	20436
426	8124	20416
427	8143	20397
428	8161	20375
429	8180	20355
430	8197	20333
431	8216	20312
432	8233	20290
433	8252	20268
434	8269	20247
435	8287	20224
436	8305	20202
437	8323	20181
438	8341	20160
439	8359	20139
440	8377	20117
441	8395	20096
442	8416	20081
443	8434	20060
444	8453	20041
445	8471	20020
446	8489	19999
447	8507	19978
448	8525	19956
449	8543	19934
450	8561	19913
451	8579	19891
452	8597	19871
453	8615	19850
454	8634	19831
455	8653	19812
456	8671	19790
457	8690	19771
458	8708	19750
459	8726	19729
460	8744	19707
461	8762	19686
462	8780	19665
463	8800	19648
464	8817	19626
465	8835	19605
466	8853	19584
467	8872	19565
468	8890	19544
469	8909	19524
470	8927	19503
471	8945	19481
472	8963	19461
473	8981	19441
474	8999	19419
475	9017	19399
476	9035	19378
477	9053	19357
478	9072	19337
479	9090	19317
480	9108	19296
481	9127	19278
482	9145	19256
483	9163	19235
484	9181	19214
485	9199	19194
486	9218	19175
487	9237	19155
488	9254	19134
489	9273	19114
490	9291	19093
491	9308	19070
492	9325	19049
493	9344	19028
494	9362	19008
495	9381	18989
496	9400	18971
497	9419	18953
498	9438	18932
499	9456	18912
500	9473	18890
501	9491	18869
502	9509	18849
503	9528	18829
504	9546	18809
505	9564	18789
506	9583	18769
507	9601	18749
508	9620	18729
509	9638	18709
510	9655	18688
511	9673	18667
512	9693	18649
513	9710	18627
514	9728	18606
515	9746	18586
516	9764	18565
517	9783	18546
518	9801	18525
519	9818	18504
520	9837	18485
521	9854	18463
522	9871	18441
523	9890	18421
524	9908	18400
525	9926	18381
526	9944	18360
527	9962	18340
528	9980	18319
529	9999	18300
530	10017	18280
531	10035	18259
532	10053	18239
533	10070	18218
534	10089	18198
535	10106	18177
536	10125	18157
537	10143	18138
538	10161	18117
539	10179	18097
540	10197	18076
541	10215	18056
542	10233	18035
543	10251	18015
544	10269	17995
545	10287	17974
546	10305	17954
547	10323	17933
548	10341	17913
549	10359	17892
550	10376	17871
551	10396	17855
552	10415	17836
553	10433	17816
554	10451	17796
555	10469	17775
556	10487	17755
557	10505	17735
558	10523	17714
559	10541	17694
560	10559	17673
561	10577	17653
562	10595	17633
563	10614	17615
564	10632	17595
565	10650	17575
566	10668	17555
567	10687	17536
568	10705	17516
569	10723	17496
570	10741	17475
571	10759	17455
572	10777	17435
573	10795	17416
574	10813	17395
575	10831	17374
576	10849	17355
577	10867	17334
578	10885	17315
579	10904	17296
580	10922	17277
581	10940	17257
582	10958	17237
583	10976	17216
584	10994	17196
585	11012	17176
586	11031	17157
587	11049	17137
588	11067	17117
589	11084	17096
590	11102	17077
